Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
AGPS	ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY	ENSG00000018510	Alkylglycerone phosphate synthase	2	177392644-177559299	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA030209, HPA030210, HPA030211	Supported		Enhanced	Peroxisomes	Liver cancer:8.62e-6 (unfavourable), Pancreatic cancer:8.35e-4 (unfavourable), Renal cancer:9.45e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 50.4	Mixed		
AGXT	AGT, AGT1, AGXT1, PH1, SPAT, SPT	ENSG00000172482	Alanine-glyoxylate aminotransferase	2	240868479-240880502	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA035370, HPA035371	Enhanced		Supported	Vesicles	Liver cancer:5.92e-5 (favourable)	Tissue enriched	Tissue enriched	58	liver: 611.6	kidney: 10.4	Cell line enhanced		Hep G2: 5.6;SK-BR-3: 1.1
AHCY	SAHH	ENSG00000101444	Adenosylhomocysteinase	20	34280268-34311802	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA041225, HPA044675	Approved		Supported	Cytosol		Expressed in all	Expressed in all			kidney: 159.4	Expressed in all		
AICDA	AID, ARP2, CDA2, HIGM2	ENSG00000111732	Activation induced cytidine deaminase	12	8602166-8612871	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level							Tissue enhanced	Group enriched	11	appendix: 4.9;lymph node: 18.7;tonsil: 11.0	spleen: 1.0	Group enriched	5	Daudi: 101.6;U-698: 81.2
AK1		ENSG00000106992	Adenylate kinase 1	9	127866480-127877743	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA006456, CAB009893	Enhanced		Supported	Cytosol	Stomach cancer:7.31e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 774.9	Mixed		
AK2		ENSG00000004455	Adenylate kinase 2	1	33007940-33080996	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA018479	Approved				Breast cancer:4.37e-4 (favourable), Pancreatic cancer:6.40e-4 (unfavourable), Endometrial cancer:8.65e-4 (unfavourable), Liver cancer:9.32e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 183.3	Expressed in all		
AKR1C4	3-alpha-HSD, C11, CDR, CHDR, DD4, HAKRA, MGC22581	ENSG00000198610	Aldo-keto reductase family 1 member C4	10	5195462-5218949	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA044720, HPA068265	Uncertain		Approved	Nucleus<br>Nucleoli fibrillar center<br>Endoplasmic reticulum<br>Cytosol		Tissue enriched	Tissue enriched	6	liver: 360.3	gallbladder: 64.2	Cell line enriched	8	HDLM-2: 6.1
AKT1	AKT, PKB, PRKBA, RAC	ENSG00000142208	AKT serine/threonine kinase 1	14	104769349-104795751	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA002891, CAB003765	Enhanced		Supported	Nucleus<br>Microtubules	Renal cancer:2.12e-4 (favourable), Ovarian cancer:4.83e-4 (favourable)	Expressed in all	Expressed in all			prostate: 106.4	Expressed in all		
AKT2		ENSG00000105221	AKT serine/threonine kinase 2	19	40230317-40285536	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB004204, HPA064521	Uncertain		Supported	Nucleus<br>Vesicles<br>Cytosol	Endometrial cancer:1.05e-6 (unfavourable), Prostate cancer:4.74e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 170.1	Expressed in all		
AKT3	PKBG, PRKBG, RAC-gamma	ENSG00000117020	AKT serine/threonine kinase 3	1	243488233-243851079	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB013090, HPA026441	Approved		Supported	Cytosol	Urothelial cancer:9.27e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 51.6	Mixed		
ALAS2	ASB	ENSG00000158578	5'-aminolevulinate synthase 2	X	55009055-55031064	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001638	Approved					Mixed	Tissue enriched	7	bone marrow: 335.6	placenta: 51.0	Group enriched	173	HEL: 42.0;K-562: 61.5
ALDH18A1	GSAS, P5CS, PYCS, SPG9	ENSG00000059573	Aldehyde dehydrogenase 18 family member A1	10	95605929-95656706	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA008333, HPA012604	Approved		Enhanced	Mitochondria	Renal cancer:3.60e-9 (unfavourable), Endometrial cancer:4.20e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 89.5	Expressed in all		
ALDH1A3	ALDH6, RALDH3	ENSG00000184254	Aldehyde dehydrogenase 1 family member A3	15	100877714-100916626	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA046271, HPA064749	Enhanced		Enhanced	Nucleus<br>Cytosol		Group enriched	Tissue enhanced		prostate: 217.5	adipose tissue: 74.8	Cell line enhanced		HaCaT: 383.6;HBEC3-KT: 772.3;U-2197: 565.6;U-87 MG: 467.6;WM-115: 498.3
ALDH3A2	ALDH10, FALDH, SLS	ENSG00000072210	Aldehyde dehydrogenase 3 family member A2	17	19648136-19677598	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA014769, CAB020692	Approved				Renal cancer:3.85e-8 (favourable)	Expressed in all	Expressed in all			adrenal gland: 179.0	Cell line enhanced		A549: 115.6
ALDH4A1	ALDH4, P5CDh	ENSG00000159423	Aldehyde dehydrogenase 4 family member A1	1	18871430-18902781	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004645, HPA006401	Enhanced				Cervical cancer:5.06e-4 (favourable)	Expressed in all	Tissue enhanced		kidney: 185.7;liver: 108.1	adipose tissue: 63.8	Expressed in all		
ALDH5A1	SSADH, SSDH	ENSG00000112294	Aldehyde dehydrogenase 5 family member A1	6	24494852-24537207	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA029715, HPA029716	Enhanced		Enhanced	Mitochondria	Liver cancer:7.61e-6 (favourable), Renal cancer:3.68e-4 (favourable), Ovarian cancer:6.20e-4 (favourable)	Expressed in all	Expressed in all			liver: 46.8	Cell line enhanced		Daudi: 88.4;U-698: 105.9
ALDH6A1	MMSDH	ENSG00000119711	Aldehyde dehydrogenase 6 family member A1	14	74056850-74084493	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA029072, HPA029073, HPA029074, HPA029075	Enhanced		Enhanced	Mitochondria	Renal cancer:2.00e-15 (favourable), Lung cancer:4.22e-4 (favourable)	Expressed in all	Expressed in all			kidney: 389.6	Expressed in all		
ALDH7A1	ATQ1, EPD, PDE	ENSG00000164904	Aldehyde dehydrogenase 7 family member A1	5	126531200-126595418	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA023296	Enhanced		Supported	Mitochondria<br>Cytosol	Renal cancer:3.08e-4 (favourable)	Expressed in all	Expressed in all			kidney: 120.6	Mixed		
ALDOA		ENSG00000149925	Aldolase, fructose-bisphosphate A	16	30053090-30070457	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004177, CAB006252	Enhanced		Supported	Cytosol	Liver cancer:5.79e-5 (unfavourable), Lung cancer:7.32e-5 (unfavourable)	Expressed in all	Tissue enriched	7	skeletal muscle: 9377.0	esophagus: 1428.8	Expressed in all		
ALDOB		ENSG00000136872	Aldolase, fructose-bisphosphate B	9	101420578-101435823	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA002198, CAB020827	Enhanced					Tissue enriched	Group enriched	23	duodenum: 3705.7;kidney: 6574.8;liver: 5092.2;small intestine: 5611.2	gallbladder: 231.1	Cell line enhanced		BEWO: 16.8;NB-4: 10.8;RPMI-8226: 13.6;SH-SY5Y: 17.3
ALG1	CDG1K, HMAT1, HMT-1, Mat-1	ENSG00000033011	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	16	5033960-5087379	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA060392	Approved		Approved	Nucleoli fibrillar center<br>Endoplasmic reticulum	Colorectal cancer:5.79e-4 (favourable), Testis cancer:6.93e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 33.4	Expressed in all		
ALG11	CDG1P, KIAA0266	ENSG00000253710	ALG11, alpha-1,2-mannosyltransferase	13	52012398-52029664	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA047214	Approved					Mixed	Expressed in all			thyroid gland: 23.6	Expressed in all		
ALG12	CDG1G, ECM39	ENSG00000182858	ALG12, alpha-1,6-mannosyltransferase	22	49900229-49918458	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA003076, HPA051665	Approved		Approved	Endoplasmic reticulum	Renal cancer:3.60e-5 (favourable), Endometrial cancer:6.09e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 17.2	Expressed in all		
ALG13	CDG1S, CXorf45, FLJ23018, GLT28D1, MDS031, TDRD13, YGL047W	ENSG00000101901	ALG13, UDP-N-acetylglucosaminyltransferase subunit	X	111665811-111760649	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA002853	Approved				Renal cancer:1.10e-6 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 30.4	Expressed in all		
ALG2	CDG1I, CDGIi, FLJ14511, hALPG2, NET38	ENSG00000119523	ALG2, alpha-1,3/1,6-mannosyltransferase	9	99216426-99221956	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA041512, HPA041601	Approved		Enhanced	Actin filaments<br>Cytosol	Renal cancer:2.28e-7 (favourable), Endometrial cancer:8.44e-5 (favourable), Head and neck cancer:1.56e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 77.1	Expressed in all		
ALG3	CDGS4, D16Ertd36e, Not56, NOT56L	ENSG00000214160	ALG3, alpha-1,3- mannosyltransferase	3	184242301-184249548	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA045103	Approved				Liver cancer:1.58e-5 (unfavourable), Lung cancer:8.67e-5 (unfavourable), Renal cancer:1.25e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 33.4	Expressed in all		
ALG6		ENSG00000088035	ALG6, alpha-1,3-glucosyltransferase	1	63367590-63438562	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA062536			Supported	Endoplasmic reticulum	Renal cancer:2.63e-6 (unfavourable), Colorectal cancer:4.86e-4 (favourable), Liver cancer:9.46e-4 (unfavourable)	Expressed in all	Mixed			placenta: 11.9	Expressed in all		
ALG8	MGC2840	ENSG00000159063	ALG8, alpha-1,3-glucosyltransferase	11	78100936-78139660	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA051898	Approved		Approved	Nucleoplasm		Expressed in all	Expressed in all			testis: 86.2	Expressed in all		
ALG9	DIBD1	ENSG00000086848	ALG9, alpha-1,2-mannosyltransferase	11	111782195-111871581	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA038575	Approved		Approved	Endoplasmic reticulum	Renal cancer:7.29e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 25.8	Expressed in all		
ALOX12	12S-LOX	ENSG00000108839	Arachidonate 12-lipoxygenase, 12S type	17	6996065-7010736	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA010691, CAB019287	Approved		Supported	Nuclear speckles<br>Cytosol		Mixed	Group enriched	8	esophagus: 50.3;skin: 25.9	gallbladder: 5.0	Group enriched	5	A-431: 22.4;HEL: 36.7
ALOX15	15-LOX-1	ENSG00000161905	Arachidonate 15-lipoxygenase	17	4630902-4642294	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004962, CAB004963, HPA013859	Approved					Mixed	Tissue enhanced		fallopian tube: 19.6;lung: 9.8	breast: 4.7	Group enriched	7	HMC-1: 13.6;MCF7: 10.8;T-47d: 3.9
ALOXE3	E-LOX, eLOX3	ENSG00000179148	Arachidonate lipoxygenase 3	17	8095900-8119047	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA023120, HPA078597	Enhanced		Approved	Plasma membrane<br>Cytosol		Tissue enhanced	Tissue enriched	16	skin: 36.5	breast: 2.2	Cell line enhanced		A-431: 5.5;HBEC3-KT: 7.2;hTCEpi: 5.2;hTERT-HME1: 10.5;T-47d: 4.1
ALPL	HOPS, TNSALP	ENSG00000162551	Alkaline phosphatase, liver/bone/kidney	1	21509372-21578412	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007105, HPA008765, CAB020829	Enhanced		Approved	Cytosol	Melanoma:7.08e-4 (unfavourable)	Expressed in all	Tissue enhanced		lung: 78.8	kidney: 47.2	Group enriched	8	HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8
AMACR	P504S, RACE	ENSG00000242110	Alpha-methylacyl-CoA racemase	5	33986178-34008108	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB001809, HPA019527, HPA020912	Enhanced		Supported	Vesicles<br>Plasma membrane	Colorectal cancer:7.11e-4 (favourable)	Expressed in all	Expressed in all			kidney: 135.3	Expressed in all		
AMHR2	MISR2, MISRII	ENSG00000135409	Anti-Mullerian hormone receptor type 2	12	53423855-53431534	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Tissue enhanced	Tissue enhanced		adrenal gland: 32.1;ovary: 40.9	testis: 10.1	Group enriched	19	HEL: 36.1;K-562: 19.9
AMPD1	MAD, MADA	ENSG00000116748	Adenosine monophosphate deaminase 1	1	114673090-114695618	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA026478, HPA028080	Enhanced					Mixed	Tissue enriched	12	skeletal muscle: 193.6	duodenum: 16.5	Cell line enriched	32	U-266/70: 6.6
AMPD2	SPG63	ENSG00000116337	Adenosine monophosphate deaminase 2	1	109616104-109632051	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA027137, HPA045760, HPA050590	Approved	Approved	Enhanced	Cytosol	Renal cancer:3.78e-10 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 82.4	Expressed in all		
AMPD3		ENSG00000133805	Adenosine monophosphate deaminase 3	11	10308313-10507579	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA038662, HPA047408	Uncertain		Enhanced	Nuclear membrane	Endometrial cancer:2.37e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 54.4	bone marrow: 41.4	Cell line enhanced		BJ hTERT+: 35.8
AMT	GCST, NKH	ENSG00000145020	Aminomethyltransferase	3	49416775-49422753	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA005566	Supported		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:3.90e-8 (favourable)	Expressed in all	Mixed			parathyroid gland: 23.2	Group enriched	12	BEWO: 14.2;Hep G2: 30.0;NTERA-2: 7.6;SH-SY5Y: 11.8
ANK1	ANK, SPH1	ENSG00000029534	Ankyrin 1	8	41653220-41896762	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA004842, HPA056953	Supported					Mixed	Tissue enriched	5	skeletal muscle: 348.3	heart muscle: 63.9	Group enriched	5	HEL: 84.7;K-562: 96.3;RH-30: 157.8
ANK2	LQT4	ENSG00000145362	Ankyrin 2	4	112818109-113383740	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA008007, CAB015178, HPA035970	Enhanced		Supported	Plasma membrane	Renal cancer:2.41e-6 (unfavourable)	Tissue enhanced	Tissue enhanced		cerebral cortex: 184.4	kidney: 125.1	Cell line enhanced		RH-30: 60.5;SH-SY5Y: 33.1
ANKH	ANK, CCAL2, CMDJ, CPPDD, HANK	ENSG00000154122	ANKH inorganic pyrophosphate transport regulator	5	14704804-14871778	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA068104			Approved	Cytosol	Glioma:7.64e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 49.4	Mixed		
ANO3	C11orf25, DYT23, GENX-3947, TMEM16C	ENSG00000134343	Anoctamin 3	11	26309599-26663288	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041629	Uncertain					Not detected	Tissue enriched	6	epididymis: 62.2	cerebral cortex: 10.5	Cell line enhanced		HDLM-2: 5.9;U-2 OS: 1.7;U-2197: 4.2
